Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Barramento TK","ZX_TK_Bus_Socket_56",39.370000,-62.230000,180.000000,bottom
"C1","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",20.000000,-47.200000,0.000000,top
"C2","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",28.000000,-47.200000,0.000000,top
"C3","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",4.000000,-47.200000,0.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",12.000000,-47.200000,0.000000,top
"C5","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",36.000000,-47.200000,0.000000,top
"C6","10u","CP_Radial_D5.0mm_P2.00mm",44.000000,-47.200000,0.000000,top
"D1","LED","LED_D3.0mm",52.000000,-47.200000,0.000000,top
"JP1","SELECIONA ROM","PinHeader_1x03_P2.54mm_Vertical",71.500000,-8.000000,0.000000,top
"JP2","ROMCS BARRAMENTO","PinHeader_1x03_P2.54mm_Vertical",71.500000,-17.000000,0.000000,top
"JP3","ZX128/ZX512","PinHeader_1x02_P2.54mm_Vertical",71.500000,-26.000000,0.000000,top
"JP4","AUTO-DESATIVA 32K","PinHeader_1x02_P2.54mm_Vertical",71.500000,-33.500000,0.000000,top
"R2","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",5.000000,-53.300000,0.000000,top
"R3","2k2","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",23.000000,-53.300000,0.000000,top
"R4","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",11.000000,-53.300000,0.000000,top
"R5","0R","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",17.000000,-53.300000,0.000000,top
"U1","GAL20V8B","DIP-24_W7.62mm_Socket_LongPads",46.990000,-10.160000,0.000000,top
"U2","74HCT273","DIP-20_W7.62mm_Socket_LongPads",59.690000,-12.700000,0.000000,top
"U3","AS6C1008-55PCN","DIP-32_W15.24mm_Socket_LongPads",6.350000,-5.080000,0.000000,top
"U4","27C256","DIP-28_W15.24mm_Socket_LongPads",26.670000,-7.620000,0.000000,top
